block,streets,doorways,calls_12mo,calls_total,tows,dwellings,calls_per_1k_dwellings,district,worst_doorway,addresses
12090570,KING ST / PORTLAND ST,15,72,224,5,609,118.2,5,57 KING ST,108 OCHTERLONEY ST; 16 VICTORIA RD; 19 PORTLAND ST; 24 KING ST; 28 QUEEN ST; 31 DUNDAS ST; 32 KING ST; 36 WENTWORTH ST; 45 ALDERNEY DR; 46 QUEEN ST; 52 IRISHTOWN RD; 57 KING ST; 70 OCHTERLONEY ST; 70 QUEEN ST; 82 OCHTERLONEY ST
12090332,HENRY ST / LEMARCHANT ST,10,29,112,7,293,99.0,7,1664 HENRY ST,1524 LEMARCHANT ST; 1544 HENRY ST; 1553 VERNON ST; 1567 LEMARCHANT ST; 1585 VERNON ST; 1646 HENRY ST; 1664 HENRY ST; 1670 HENRY ST; 1680 HENRY ST; 6089 COBURG RD
12090327,SELDON ST / NORWOOD ST,10,26,32,1,267,97.4,9,1883 SELDON ST,1867 SELDON ST; 1874 SELDON ST; 1882 SELDON ST; 1883 SELDON ST; 6318 PEPPERELL ST; 6324 PEPPERELL ST; 6326 NORWOOD ST; 6331 YORK ST; 6334 NORWOOD ST; 6371 NORWOOD ST
12090351,MACARA ST / KAYE ST,9,27,96,0,779,34.7,8,5844 MACARA ST,3080 AGRICOLA ST; 5532 KAYE ST; 5536 KAYE ST; 5556 MACARA ST; 5644 MACARA ST; 5665 MACARA ST; 5685 BILBY ST; 5690 MACARA ST; 5844 MACARA ST
12090340,AGRICOLA ST / HARRIS ST,8,28,65,7,379,73.9,8,2428 AGRICOLA ST,2428 AGRICOLA ST; 2430 AGRICOLA ST; 2432 AGRICOLA ST; 2470 AGRICOLA ST; 2503 AGRICOLA ST; 2513 AGRICOLA ST; 5663 WEST ST; 5683 HARRIS ST
12090337,ALMON ST / KING ST,8,41,66,2,753,54.4,8,6070 ALMON ST,2631 KING ST; 2655 KING ST; 2662 KING ST; 2666 KING ST; 2779 PACIFIC ST; 6070 ALMON ST; 6170 WINDSOR TERR; 6174 ALMON ST
12090357,SACKVILLE ST / ARGYLE ST,7,46,156,7,816,56.4,7,5285 SACKVILLE ST,1658 MARKET ST; 1697 BRUNSWICK ST; 1749 ARGYLE ST; 1875 BARRINGTON ST; 5233 PRINCE ST; 5285 SACKVILLE ST; 5523 FALKLAND ST
12090869,COMPTON AVE / ALLAN ST,7,19,29,0,393,48.3,8,6052 COMPTON AVE,2113 WINDSOR ST; 6027 WILLIAMS ST; 6042 COMPTON AVE; 6052 COMPTON AVE; 6071 WELSFORD ST; 6141 ALLAN ST; 6183 ALLAN ST
12090355,ALMON ST / BILBY ST,7,23,120,2,678,33.9,8,5658 ALMON ST,5261 KAYE ST; 5530 BILBY ST; 5543 BLOOMFIELD ST; 5640 ALMON ST; 5658 ALMON ST; 5666 ALMON ST; 5674 BILBY ST
12090291,SOUTH BLAND ST / YOUNG AVE,6,27,63,4,289,93.4,7,918 SOUTH BLAND ST,913 BRUSSELS ST; 914 SOUTH BLAND ST; 918 SOUTH BLAND ST; 957 YOUNG AVE; 958 SOUTH BLAND ST; 977 YOUNG AVE
12090350,MCCULLY ST / AGRICOLA ST,6,21,64,1,228,92.1,8,5733 MCCULLY ST,2685 AGRICOLA ST; 2690 AGRICOLA ST; 2710 AGRICOLA ST; 5719 MCCULLY ST; 5733 MCCULLY ST; 5737 MCCULLY ST
12090313,PEPPERELL ST / GARDEN ST,6,20,35,1,354,56.5,9,1872 GARDEN ST,1872 GARDEN ST; 6130 PEPPERELL ST; 6148 PEPPERELL ST; 6201 SHIRLEY ST; 6240 PEPPERELL ST; 6251 SHIRLEY ST
12090855,QUEEN ST / BIRMINGHAM ST,6,18,60,2,768,23.4,7,1580 QUEEN ST,1474 BRENTON ST; 1525 BIRMINGHAM ST; 1545 BIRMINGHAM ST; 1546 QUEEN ST; 1580 QUEEN ST; 5647 MORRIS ST
12090852,AGRICOLA ST / LIVINGSTONE ST,5,15,50,3,235,63.8,8,3139 AGRICOLA ST,3132 AGRICOLA ST; 3139 AGRICOLA ST; 3143 AGRICOLA ST; 5666 KANE ST; 5852 LIVINGSTONE ST
12090876,ST MATTHIAS ST / WILLOW ST,5,16,36,0,254,63.0,9,2499 ST MATTHIAS ST,2499 ST MATTHIAS ST; 6160 WILLOW ST; 6226 WILLOW ST; 6240 WILLOW ST; 6241 CHARLES ST
12090281,FRASER ST / SOUTH ST,5,15,43,2,250,60.0,7,6019 FRASER ST,6019 FRASER ST; 6020 FRASER ST; 6036 SOUTH ST; 6037 FRASER ST; 6057 FRASER ST
12090312,CHERRY ST / PEPPERELL ST,5,25,61,0,422,59.2,9,6019 CHERRY ST,1975 VERNON ST; 6016 PEPPERELL ST; 6019 CHERRY ST; 6035 CHERRY ST; 6056 QUINPOOL RD
12090346,CREIGHTON ST / MAYNARD ST,5,15,23,1,371,40.4,8,2404 CREIGHTON ST,2398 CREIGHTON ST; 2404 CREIGHTON ST; 2415 MAYNARD ST; 2486 CREIGHTON ST; 2500 CREIGHTON ST
12090358,MAYNARD ST / COGSWELL ST,5,11,29,0,350,31.4,8,2008 MAYNARD ST,2008 MAYNARD ST; 2023 MAYNARD ST; 2110 BAUER ST; 5570 NORA BERNARD ST; 5571 COGSWELL ST
12091018,LASALLE CRT / GARY MARTIN DR,5,11,17,1,2774,4.0,16,13 LASALLE CRT,13 LASALLE CRT; 204 CAPSTONE CRES; 32 LOWTHER LANE; 70 GARY MARTIN DR; 79 TILBURY AVE
12090203,DAWSON ST / JOHN ST,4,28,30,0,177,158.2,5,20 DAWSON ST,18 DAWSON ST; 20 DAWSON ST; 22 DAWSON ST; 8A JOHN ST
12090854,BIRMINGHAM ST / QUEEN ST,4,31,112,4,373,83.1,7,1323 BIRMINGHAM ST,1323 BIRMINGHAM ST; 1329 BIRMINGHAM ST; 1336 BIRMINGHAM ST; 1340 QUEEN ST
12090533,CHELSEA LANE / COVINGTON WAY,4,11,17,0,201,54.7,10,23 CHELSEA LANE,11 CHELSEA LANE; 13 CHELSEA LANE; 17 COVINGTON WAY; 23 CHELSEA LANE
12090477,CORK ST / LIVERPOOL ST,4,12,24,3,244,49.2,9,6379 CORK ST,6373 CORK ST; 6379 CORK ST; 6380 LIVERPOOL ST; 6385 LIVERPOOL ST
12090215,PINECREST DR / BRULE ST,4,12,12,0,273,44.0,5,117 PINECREST DR,115 PINECREST DR; 117 PINECREST DR; 29 BRULE ST; 40 BRULE ST
